"","LAD20XCD","CZ"
"1","E06000001",7
"2","E06000002",7
"3","E06000003",7
"4","E06000004",7
"5","E06000005",7
"6","E06000006",6
"7","E06000007",6
"8","E06000008",18
"9","E06000009",18
"10","E06000010",4
"11","E06000011",4
"12","E06000012",23
"13","E06000013",23
"14","E06000014",4
"15","E06000015",3
"16","E06000016",17
"17","E06000017",17
"18","E06000018",3
"19","E06000019",20
"20","E06000020",25
"21","E06000021",21
"22","E06000022",10
"23","E06000023",10
"24","E06000024",10
"25","E06000025",10
"26","E06000026",14
"27","E06000027",14
"28","E06000030",10
"29","E06000031",19
"30","E06000032",1
"31","E06000033",12
"32","E06000034",12
"33","E06000035",15
"34","E06000036",5
"35","E06000037",5
"36","E06000038",5
"37","E06000039",5
"38","E06000040",5
"39","E06000041",5
"40","E06000042",22
"41","E06000043",11
"42","E06000044",9
"43","E06000045",9
"44","E06000046",29
"45","E06000047",7
"46","E06000049",21
"47","E06000050",6
"48","E06000051",25
"49","E06000054",10
"50","E06000055",1
"51","E06000056",1
"52","E06000057",7
"53","E06000058",9
"54","E06000059",9
"55","E06000060",5
"56","E07000008",19
"57","E07000009",19
"58","E07000010",19
"59","E07000011",19
"60","E07000012",19
"61","E07000026",26
"62","E07000027",27
"63","E07000028",26
"64","E07000029",26
"65","E07000030",26
"66","E07000031",27
"67","E07000032",3
"68","E07000033",3
"69","E07000034",3
"70","E07000035",3
"71","E07000036",3
"72","E07000037",3
"73","E07000038",3
"74","E07000039",3
"75","E07000040",14
"76","E07000041",14
"77","E07000042",14
"78","E07000043",14
"79","E07000044",14
"80","E07000045",14
"81","E07000046",14
"82","E07000047",14
"83","E07000061",11
"84","E07000062",11
"85","E07000063",11
"86","E07000064",11
"87","E07000065",11
"88","E07000066",12
"89","E07000067",12
"90","E07000068",12
"91","E07000069",12
"92","E07000070",12
"93","E07000071",12
"94","E07000072",1
"95","E07000073",1
"96","E07000074",12
"97","E07000075",12
"98","E07000076",12
"99","E07000077",1
"100","E07000078",20
"101","E07000079",10
"102","E07000080",20
"103","E07000081",20
"104","E07000082",20
"105","E07000083",20
"106","E07000084",5
"107","E07000085",9
"108","E07000086",9
"109","E07000087",9
"110","E07000088",9
"111","E07000089",5
"112","E07000090",9
"113","E07000091",9
"114","E07000092",5
"115","E07000093",9
"116","E07000094",9
"117","E07000095",1
"118","E07000096",1
"119","E07000098",1
"120","E07000099",1
"121","E07000102",1
"122","E07000103",1
"123","E07000105",15
"124","E07000106",15
"125","E07000107",1
"126","E07000108",15
"127","E07000109",1
"128","E07000110",15
"129","E07000111",1
"130","E07000112",15
"131","E07000113",15
"132","E07000114",15
"133","E07000115",15
"134","E07000116",15
"135","E07000117",18
"136","E07000118",18
"137","E07000119",18
"138","E07000120",18
"139","E07000121",27
"140","E07000122",18
"141","E07000123",18
"142","E07000124",18
"143","E07000125",8
"144","E07000126",18
"145","E07000127",6
"146","E07000128",18
"147","E07000129",17
"148","E07000130",17
"149","E07000131",17
"150","E07000132",17
"151","E07000133",17
"152","E07000134",17
"153","E07000135",17
"154","E07000136",23
"155","E07000137",23
"156","E07000138",23
"157","E07000139",23
"158","E07000140",23
"159","E07000141",17
"160","E07000142",23
"161","E07000143",16
"162","E07000144",16
"163","E07000145",16
"164","E07000146",19
"165","E07000147",16
"166","E07000148",16
"167","E07000149",16
"168","E07000150",22
"169","E07000151",22
"170","E07000152",22
"171","E07000153",22
"172","E07000154",22
"173","E07000155",22
"174","E07000156",22
"175","E07000163",4
"176","E07000164",7
"177","E07000165",4
"178","E07000166",7
"179","E07000167",4
"180","E07000168",4
"181","E07000169",4
"182","E07000170",3
"183","E07000171",3
"184","E07000172",3
"185","E07000173",3
"186","E07000174",3
"187","E07000175",3
"188","E07000176",3
"189","E07000177",5
"190","E07000178",5
"191","E07000179",5
"192","E07000180",5
"193","E07000181",5
"194","E07000187",10
"195","E07000188",10
"196","E07000189",9
"197","E07000192",2
"198","E07000193",3
"199","E07000194",2
"200","E07000195",21
"201","E07000196",2
"202","E07000197",21
"203","E07000198",21
"204","E07000199",2
"205","E07000200",16
"206","E07000202",16
"207","E07000203",16
"208","E07000207",1
"209","E07000208",1
"210","E07000209",5
"211","E07000210",1
"212","E07000211",1
"213","E07000212",1
"214","E07000213",1
"215","E07000214",5
"216","E07000215",1
"217","E07000216",5
"218","E07000217",1
"219","E07000218",2
"220","E07000219",2
"221","E07000220",2
"222","E07000221",2
"223","E07000222",2
"224","E07000223",11
"225","E07000224",11
"226","E07000225",11
"227","E07000226",11
"228","E07000227",11
"229","E07000228",11
"230","E07000229",11
"231","E07000234",2
"232","E07000235",20
"233","E07000236",2
"234","E07000237",20
"235","E07000238",20
"236","E07000239",20
"237","E07000240",1
"238","E07000241",1
"239","E07000242",1
"240","E07000243",1
"241","E07000244",16
"242","E07000245",19
"243","E07000246",10
"244","E08000001",8
"245","E08000002",8
"246","E08000003",8
"247","E08000004",8
"248","E08000005",8
"249","E08000006",8
"250","E08000007",8
"251","E08000008",8
"252","E08000009",8
